,Coordinates,   Total Alerts
213,"26.80213,56.69879",1
214,"25.51436,57.17464",1
215,"25.06365,56.77426",1
216,"25.00465,57.04924",1
217,"25.36044,56.81616",1
218,"25.30465,56.71871",1
219,"25.30447,56.71832",1
220,"24.81001,56.78916",1
221,"25.16734,57.0609",1
222,"25.28189,57.02495",1
223,"25.26128,57.18418",1
224,"25.24681,56.81221",1
225,"26.29702,57.02142",1
226,"25.08018,56.7836",1
227,"25.15354,57.4057",1
228,"26.13548,55.68292",1
229,"25.92619,55.36098",1
230,"24.99045,56.85721",1
231,"25.30445,56.71832",1
232,"26.15711,55.7983",1
233,"25.75481,56.97901",1
234,"25.30448,56.71843",1
235,"25.0824,56.73408",1
236,"25.45993,56.89681",1
237,"25.3045,56.71871",1
238,"24.93916,56.74237",1
239,"24.75856,56.91085",1
240,"24.76477,56.79871",1
241,"25.4592,56.89739",1
242,"25.17429,56.92438",1
243,"25.7543,56.99276",1
244,"24.79494,56.86819",1
245,"25.21185,56.84666",1
246,"24.87263,57.01538",1
247,"25.557,56.85143",1
248,"26.66712,56.6265",1
249,"25.09426,57.12555",1
250,"24.7836,56.98234",1
251,"25.4599,56.89667",1
252,"24.88718,56.85597",1
253,"25.03599,57.12939",1
254,"24.85177,56.88478",1
255,"26.83004,56.52125",1
256,"26.15769,55.80684",1
257,"24.88685,56.7819",1
258,"24.73588,56.84542",1
259,"25.34211,57.2627",1
260,"25.22642,56.81998",1
261,"24.91655,56.9713",1
262,"26.1571,55.79823",1
263,"26.08365,55.54315",1
264,"24.79728,56.92649",1
265,"24.77139,57.15573",1
266,"25.52804,56.81308",1
267,"26.13676,55.68141",1
268,"24.99177,56.85784",1
269,"26.70119,56.76236",1
270,"24.96395,56.73357",1
271,"26.08364,55.54316",1
272,"25.30363,56.71699",1
273,"25.06951,57.27414",1
274,"25.61599,56.97873",1
275,"25.30454,56.71845",1
276,"25.16442,57.25037",1
277,"25.88468,56.90043",1
278,"25.37051,56.87579",1
279,"26.03961,55.57806",1
280,"24.86175,57.17015",1
281,"26.25259,55.81867",1
282,"25.46677,56.90126",1
283,"24.90196,56.88744",1
284,"24.9905,56.85742",1
285,"25.04293,57.25333",1
286,"25.02305,57.101",1
287,"25.30445,56.71834",1
288,"26.13687,55.68138",1
289,"25.53154,56.84046",1
