,Coordinates,   Total Alerts
930,"25.47126,57.03355",1
931,"26.84944,56.92916",1
932,"25.33389,56.74379",1
933,"25.46099,57.04034",1
934,"25.76626,56.92033",1
935,"25.30394,56.71767",1
936,"25.90518,55.53824",1
937,"25.30451,56.71834",1
938,"25.02796,56.98514",1
939,"25.46788,57.17021",1
940,"24.8345,56.87283",1
941,"25.45733,56.89683",1
942,"26.29485,55.86882",1
943,"26.54056,57.06985",1
944,"25.22492,57.24876",1
945,"25.35189,57.01641",1
946,"25.31893,56.92302",1
947,"25.46807,56.86335",1
948,"25.12711,57.29803",1
949,"24.96261,57.12421",1
950,"24.9835,56.83517",1
951,"24.8831,56.86335",1
952,"25.2594,56.78416",1
953,"26.5371,57.06611",1
954,"24.90805,56.74398",1
955,"24.9549,56.96077",1
956,"25.3807,56.95533",1
957,"24.94213,56.86565",1
958,"26.26374,56.95444",1
959,"25.46,56.89649",1
960,"24.96411,56.80797",1
961,"25.46109,57.04038",1
962,"25.46223,57.0444",1
963,"25.81739,56.83417",1
964,"24.82663,57.15865",1
965,"25.10358,56.79091",1
966,"24.61202,56.96836",1
967,"24.99069,56.85743",1
968,"26.39027,56.69702",1
969,"26.72027,56.74168",1
970,"25.04961,56.86026",1
971,"24.81873,56.98365",1
972,"26.13676,55.6814",1
973,"25.30447,56.71841",1
974,"24.8064,57.00312",1
975,"24.66319,56.98435",1
976,"25.4599,56.89668",1
977,"25.99524,55.75085",1
978,"25.46107,57.04038",1
979,"24.99046,56.85743",1
980,"25.29984,56.7878",1
981,"25.22658,57.00273",1
982,"24.97247,56.72033",1
983,"26.13655,55.68138",1
984,"25.45987,56.8968",1
985,"25.25696,56.88071",1
986,"25.21298,56.75836",1
987,"25.75938,57.0139",1
988,"25.03567,56.81979",1
989,"25.30498,56.71784",1
990,"24.80553,56.78574",1
991,"24.86777,57.01122",1
992,"24.95385,56.78974",1
993,"25.45908,56.88596",1
994,"25.45304,56.74487",1
995,"24.78673,56.79352",1
996,"25.39102,56.87833",1
997,"25.4602,56.89726",1
998,"25.11662,56.80196",1
999,"26.29485,55.86886",1
1000,"24.99661,56.86523",1
1001,"25.18897,56.99917",1
1002,"24.9031,56.98337",1
1003,"25.45275,56.74478",1
1004,"25.46073,57.0404",1
1005,"25.37338,57.24395",1
1006,"25.04649,56.74257",1
1007,"25.37036,56.87559",1
1008,"25.45275,56.74477",1
1009,"25.72816,56.92294",1
1010,"25.46138,56.89762",1
1011,"26.08368,55.54314",1
1012,"25.40825,57.04797",1
1013,"25.45988,56.89662",1
1014,"25.32444,56.72217",1
1015,"25.1039,56.97851",1
1016,"25.33325,57.30541",1
1017,"24.84427,56.75575",1
1018,"25.00068,56.85217",1
1019,"24.99033,56.85752",1
1020,"24.90714,56.86931",1
1021,"25.30568,56.71721",1
1022,"26.15707,55.79823",1
1023,"25.32671,56.97718",1
1024,"25.48583,57.32318",1
1025,"25.06859,56.92804",1
1026,"25.48977,56.96403",1
1027,"25.45278,56.74475",1
1028,"25.13847,57.03635",1
1029,"24.76607,57.02945",1
1030,"24.75548,56.94185",1
1031,"25.0536,56.89673",1
1032,"25.25041,56.77976",1
1033,"25.30512,56.71907",1
1034,"25.4598,56.89683",1
1035,"25.45986,56.89658",1
1036,"24.82482,56.94854",1
1037,"25.45983,56.89668",1
1038,"25.30443,56.71831",1
1039,"25.25253,56.77451",1
1040,"26.29533,55.86865",1
1041,"25.43365,56.95017",1
1042,"24.85668,56.90896",1
1043,"25.54661,56.8424",1
1044,"25.01765,56.79698",1
1045,"25.3042,56.71771",1
1046,"25.37051,56.87587",1
1047,"25.21722,57.20688",1
1048,"25.04963,57.01287",1
1049,"24.62665,56.87235",1
1050,"24.98992,56.8576",1
1051,"25.30372,56.71695",1
1052,"25.11217,57.43491",1
1053,"24.83331,57.05137",1
1054,"26.53067,57.065",1
1055,"25.45962,56.89724",1
1056,"24.79333,56.79167",1
1057,"24.86026,56.74377",1
1058,"24.78807,56.96062",1
1059,"24.95736,56.71745",1
1060,"26.53803,57.05389",1
1061,"25.30392,56.71813",1
1062,"25.26236,56.88866",1
1063,"25.45985,56.89683",1
1064,"25.16342,57.14118",1
1065,"25.30559,56.71727",1
1066,"24.8496,56.81633",1
1067,"25.44593,57.04919",1
1068,"25.2563,56.87984",1
1069,"24.89013,56.71927",1
1070,"25.28252,56.77508",1
1071,"24.91052,57.28264",1
1072,"26.09574,55.77143",1
1073,"24.96217,56.8186",1
1074,"24.81816,57.08833",1
1075,"24.6502,57.02301",1
1076,"25.02196,57.09771",1
1077,"25.45989,56.89668",1
1078,"25.75525,56.99186",1
1079,"24.91353,57.03912",1
1080,"24.83948,57.13324",1
1081,"25.50256,56.97994",1
1082,"25.3154,56.93778",1
1083,"24.99063,56.8574",1
1084,"25.11257,56.87994",1
1085,"25.45976,56.8966",1
1086,"25.85865,56.92026",1
1087,"26.13676,55.68152",1
1088,"24.92085,56.69556",1
1089,"24.95851,56.93811",1
1090,"25.45995,56.89669",1
1091,"25.03005,56.94513",1
1092,"25.3044,56.71801",1
1093,"24.77539,56.78551",1
1094,"24.98821,56.87878",1
1095,"25.04691,56.81009",1
1096,"25.00822,57.11893",1
1097,"25.26605,56.7104",1
1098,"25.46027,56.89711",1
1099,"25.46113,57.04042",1
1100,"25.30444,56.71836",1
1101,"26.13584,55.68822",1
1102,"25.3045,56.71833",1
1103,"25.37055,56.87584",1
1104,"25.45986,56.89671",1
1105,"25.45342,56.74441",1
1106,"25.06422,57.08901",1
1107,"25.17906,57.01621",1
1108,"25.30488,56.71844",1
1109,"24.95324,56.77372",1
1110,"25.55917,57.08727",1
1111,"24.93851,56.89776",1
1112,"25.305,56.71869",1
1113,"25.59644,57.10239",1
1114,"24.9721,57.15851",1
1115,"24.99058,56.85737",1
1116,"24.97635,56.91083",1
1117,"25.04367,56.95128",1
1118,"25.35859,56.7588",1
1119,"24.99541,56.85362",1
1120,"25.46199,56.79883",1
1121,"24.99107,56.86118",1
1122,"26.29403,55.86838",1
1123,"24.82832,56.83823",1
1124,"24.84293,56.77049",1
1125,"25.07067,56.88916",1
1126,"26.97424,56.38018",1
1127,"25.58246,56.90951",1
1128,"25.45324,56.74375",1
1129,"25.32579,56.9475",1
1130,"26.08364,55.54313",1
1131,"25.31242,56.77918",1
1132,"25.0692,56.96072",1
1133,"25.45648,56.74387",1
1134,"25.30573,56.71941",1
1135,"25.11211,57.36181",1
1136,"25.46513,56.90723",1
1137,"26.92926,56.44626",1
1138,"25.2183,56.78502",1
1139,"24.82395,57.13931",1
1140,"25.16841,56.7765",1
1141,"26.92191,56.36681",1
1142,"24.88125,57.00745",1
1143,"24.99068,56.85733",1
1144,"25.47728,57.13492",1
1145,"25.25713,56.87994",1
1146,"26.537,57.03917",1
1147,"25.46111,57.04039",1
1148,"24.91825,56.84827",1
1149,"24.64272,56.91193",1
1150,"24.62467,56.8868",1
1151,"24.95927,56.80582",1
1152,"25.30443,56.71838",1
1153,"25.80276,55.40324",1
1154,"26.08364,55.54325",1
1155,"25.47573,56.79485",1
1156,"24.8208,56.90677",1
1157,"25.45734,56.7423",1
1158,"25.62076,56.98091",1
1159,"25.43525,56.7269",1
1160,"25.03626,56.69428",1
1161,"25.45989,56.8967",1
1162,"24.71975,56.91277",1
1163,"25.25325,56.74669",1
1164,"26.5283,57.0526",1
1165,"25.42173,57.03529",1
1166,"25.45947,56.89633",1
1167,"25.24664,56.74665",1
1168,"25.0269,57.19004",1
1169,"24.74457,56.79209",1
1170,"24.87324,56.71582",1
1171,"26.52183,57.05139",1
1172,"24.86834,56.83215",1
1173,"24.83868,57.17509",1
1174,"24.96816,56.87061",1
1175,"25.3227,57.24288",1
1176,"25.45767,57.05293",1
1177,"25.45289,56.74474",1
1178,"24.90435,56.7346",1
1179,"24.93072,56.72922",1
1180,"25.45275,56.74474",1
1181,"25.51211,56.83212",1
1182,"25.07908,56.79409",1
1183,"26.1374,55.68325",1
1184,"26.29487,55.86879",1
1185,"25.46103,57.04043",1
1186,"25.46068,56.73504",1
1187,"25.65148,56.97198",1
1188,"25.96804,55.59377",1
1189,"25.1018,57.13334",1
1190,"25.30509,56.71885",1
1191,"25.52338,57.11459",1
1192,"24.98941,56.86146",1
1193,"25.29579,57.17362",1
1194,"26.13672,55.68142",1
1195,"25.46252,56.89708",1
1196,"25.98502,56.73628",1
1197,"26.13675,55.68143",1
1198,"25.30443,56.71837",1
1199,"25.05848,57.07057",1
1200,"26.13348,55.81057",1
1201,"25.46068,56.8974",1
1202,"24.98674,56.87274",1
1203,"24.97586,57.30256",1
1204,"25.45992,56.89668",1
1205,"25.83078,56.99018",1
1206,"24.84925,57.13521",1
1207,"26.13673,55.68156",1
1208,"25.09045,57.15626",1
1209,"25.46044,57.04088",1
1210,"24.86106,57.16358",1
1211,"25.88192,56.92103",1
1212,"24.85281,56.99979",1
1213,"24.99187,56.85646",1
1214,"25.46001,56.89719",1
1215,"25.89965,55.56854",1
1216,"25.09875,56.90621",1
1217,"25.02907,57.15251",1
1218,"25.46132,57.04099",1
1219,"24.92702,56.90999",1
1220,"24.69872,57.03893",1
1221,"25.44064,56.86535",1
1222,"25.30503,56.71793",1
1223,"24.99058,56.85741",1
1224,"26.15178,55.69146",1
1225,"26.13687,55.68128",1
1226,"25.25733,56.8803",1
1227,"24.86092,56.82722",1
1228,"26.13973,55.68036",1
1229,"26.28319,55.8573",1
1230,"24.99812,57.21774",1
1231,"24.99067,57.18547",1
1232,"24.9907,56.85733",1
1233,"26.94428,56.32221",1
1234,"24.99301,56.85695",1
1235,"25.48356,56.89508",1
1236,"26.13717,55.68147",1
1237,"24.99319,56.8579",1
1238,"25.42691,56.7878",1
1239,"25.53426,56.78592",1
1240,"25.05062,56.77781",1
1241,"25.45972,56.89683",1
1242,"24.85437,56.84162",1
1243,"24.86918,56.86551",1
1244,"25.14438,57.04514",1
1245,"25.00297,57.38648",1
1246,"24.99092,56.85727",1
1247,"25.32376,56.94425",1
1248,"25.31943,56.87246",1
1249,"25.41533,56.78808",1
1250,"24.92753,56.93939",1
1251,"24.9732,56.97833",1
1252,"24.87379,56.95342",1
1253,"25.06212,57.12788",1
1254,"25.31192,56.71397",1
1255,"25.72828,56.97263",1
1256,"25.4599,56.89669",1
1257,"24.87083,56.81619",1
1258,"25.49283,56.79497",1
1259,"25.25686,56.76889",1
1260,"25.04439,57.06616",1
1261,"25.45976,56.89663",1
1262,"25.31388,57.28079",1
1263,"25.46132,57.04033",1
1264,"25.16983,56.71457",1
1265,"25.45966,56.897",1
1266,"24.93208,56.81622",1
1267,"25.93165,55.35786",1
1268,"25.17346,56.94678",1
1269,"25.50569,56.92311",1
1270,"25.21739,56.86808",1
1271,"25.18999,56.88406",1
1272,"25.36053,57.3774",1
1273,"25.06085,56.88301",1
1274,"25.30333,56.71833",1
1275,"24.85525,56.83832",1
1276,"24.86888,56.95865",1
1277,"25.37063,56.87603",1
1278,"24.78757,56.8774",1
1279,"25.65933,56.96713",1
1280,"25.07738,56.82855",1
1281,"26.62782,56.7649",1
1282,"25.48816,56.94119",1
1283,"25.30517,56.71727",1
1284,"25.45816,56.89216",1
1285,"25.50881,57.20121",1
1286,"24.73203,57.07028",1
1287,"24.88667,56.95964",1
1288,"25.37058,56.87586",1
1289,"25.30464,56.71981",1
1290,"26.08682,55.77171",1
1291,"25.21216,56.79407",1
1292,"24.98938,56.85748",1
1293,"25.43658,56.98902",1
1294,"26.25619,55.79872",1
1295,"25.46101,56.89231",1
1296,"24.97352,56.68808",1
1297,"25.25194,56.72445",1
1298,"24.87373,56.89678",1
1299,"24.90473,56.93833",1
1300,"25.46035,56.89675",1
1301,"26.13667,55.68141",1
1302,"24.87942,56.75905",1
1303,"24.99064,56.85739",1
1304,"24.88404,56.87411",1
1305,"26.08359,55.54409",1
1306,"25.30794,57.41241",1
1307,"25.45977,56.89688",1
1308,"25.98624,56.73646",1
1309,"26.59746,57.02283",1
1310,"24.86475,56.84533",1
1311,"26.30354,55.84273",1
1312,"24.95194,57.04878",1
1313,"25.30612,56.71728",1
1314,"25.25702,56.88014",1
1315,"25.2136,57.34861",1
1316,"25.4415,56.97893",1
1317,"26.138,55.68153",1
1318,"26.8339,56.21508",1
1319,"24.99066,56.85707",1
1320,"25.30486,56.7178",1
1321,"25.44767,56.89351",1
1322,"25.45964,56.89681",1
1323,"26.29486,55.869",1
1324,"24.91794,56.82704",1
1325,"24.98871,56.75518",1
1326,"26.2774,55.8762",1
1327,"25.45848,56.73817",1
1328,"25.02849,57.01802",1
1329,"26.13687,55.68163",1
1330,"26.38778,56.69431",1
1331,"24.8688,57.23049",1
1332,"26.50894,57.01059",1
1333,"25.74001,57.0164",1
1334,"24.72542,57.10104",1
1335,"26.9107,56.57123",1
1336,"25.30447,56.71834",1
1337,"25.46008,56.89736",1
1338,"24.90566,57.03715",1
1339,"24.78392,57.11807",1
1340,"24.87466,56.93842",1
1341,"26.29497,55.86969",1
1342,"25.17429,56.92373",1
1343,"24.99646,56.77317",1
1344,"25.08,57.08",1
1345,"25.39037,56.99237",1
1346,"25.98603,56.73594",1
1347,"24.78981,56.999",1
1348,"24.9917,56.85748",1
1349,"25.31045,57.266",1
1350,"25.09551,56.80566",1
1351,"25.30448,56.71835",1
1352,"26.07228,55.62456",1
1353,"25.09747,56.86065",1
1354,"25.55111,56.95847",1
1355,"25.37055,56.87579",1
1356,"25.39477,56.83181",1
1357,"25.20947,56.76787",1
1358,"25.30616,56.82748",1
1359,"26.15209,54.76127",1
1360,"24.8788,57.20066",1
1361,"25.63455,56.98937",1
1362,"25.46106,57.0404",1
1363,"25.20091,57.06041",1
1364,"25.23671,56.94083",1
1365,"25.37657,56.93697",1
1366,"24.71808,56.92806",1
1367,"25.35868,57.03902",1
1368,"25.30469,56.71833",1
1369,"24.87425,56.7458",1
1370,"24.99069,56.85747",1
1371,"25.30809,56.77669",1
1372,"26.92272,56.39945",1
1373,"26.41281,56.12202",1
1374,"25.30638,56.71712",1
1375,"25.02445,56.77446",1
1376,"24.99064,56.85749",1
1377,"25.34393,56.89273",1
1378,"24.72383,57.03064",1
1379,"26.38738,56.69341",1
1380,"24.81534,56.99592",1
1381,"24.94391,57.03984",1
1382,"25.45983,56.89667",1
1383,"25.88864,55.37063",1
1384,"25.33427,57.06568",1
1385,"25.9611,55.49975",1
1386,"25.37049,56.87587",1
1387,"24.79157,56.76087",1
1388,"26.13656,55.68279",1
1389,"24.78433,57.03558",1
1390,"26.13681,55.68155",1
1391,"25.30408,56.71673",1
1392,"25.26904,56.82471",1
1393,"25.26422,57.22795",1
1394,"26.30823,55.86513",1
1395,"25.25533,56.83603",1
1396,"24.81066,57.0578",1
1397,"25.0271,56.86368",1
1398,"26.28621,55.90896",1
1399,"25.10702,57.47488",1
1400,"24.99049,56.85716",1
1401,"25.75538,56.97704",1
1402,"26.08375,55.54377",1
1403,"24.71844,56.91498",1
1404,"26.08374,55.54318",1
1405,"25.45479,56.74566",1
1406,"26.53542,57.0597",1
1407,"24.68938,57.04961",1
1408,"24.98336,56.85094",1
1409,"25.09278,57.07134",1
1410,"25.26603,56.83814",1
1411,"25.1316,57.07309",1
1412,"25.46003,56.74456",1
1413,"25.67189,57.00099",1
1414,"24.99513,57.09215",1
1415,"25.13551,56.93906",1
1416,"25.45992,56.89674",1
1417,"24.83865,57.08317",1
1418,"25.1503,56.96114",1
1419,"25.98605,56.73594",1
1420,"24.9504,56.87099",1
1421,"25.32505,56.77871",1
1422,"25.78777,56.91146",1
1423,"24.92441,56.81566",1
1424,"24.82394,57.13725",1
1425,"26.13676,55.68143",1
1426,"25.45989,56.89663",1
1427,"24.9898,56.90127",1
1428,"24.96427,56.67888",1
1429,"25.37046,56.87586",1
1430,"25.30447,56.71831",1
1431,"25.45986,56.89662",1
1432,"25.37075,57.34498",1
1433,"25.45988,56.89697",1
1434,"24.91561,56.81672",1
1435,"25.45992,56.89667",1
1436,"25.3045,56.7183",1
1437,"24.63118,56.96869",1
1438,"24.90263,57.15867",1
1439,"24.98945,57.02664",1
1440,"25.67919,56.98973",1
1441,"24.9145,57.24155",1
1442,"25.08419,57.43774",1
1443,"25.0875,57.05858",1
1444,"25.07202,57.2466",1
1445,"24.90351,57.02745",1
1446,"25.00835,56.66009",1
1447,"24.96263,56.71634",1
1448,"25.3043,56.71833",1
1449,"25.45418,56.89688",1
1450,"25.21781,56.99371",1
1451,"25.30452,56.71844",1
1452,"25.06472,56.80463",1
1453,"25.24708,57.57426",1
1454,"25.11705,56.99773",1
1455,"25.46005,56.89665",1
1456,"24.76259,57.15095",1
1457,"25.0106,56.9029",1
1458,"25.46054,56.89591",1
1459,"24.98868,56.83548",1
1460,"24.84971,56.94857",1
1461,"24.75906,56.79821",1
1462,"26.3033,55.85398",1
1463,"24.71837,56.86694",1
1464,"24.81589,57.0381",1
1465,"24.76387,56.92558",1
1466,"25.37192,56.8757",1
1467,"25.37042,56.87793",1
1468,"25.47017,56.88241",1
1469,"25.45808,56.73973",1
1470,"25.46084,57.04019",1
1471,"24.85682,56.83648",1
1472,"25.30521,56.71711",1
1473,"26.26535,55.85021",1
1474,"24.99058,56.8573",1
1475,"26.52106,57.04735",1
1476,"25.2448,56.74902",1
1477,"24.99848,56.7107",1
1478,"26.52058,57.04333",1
1479,"26.51867,57.05032",1
1480,"25.37021,56.87577",1
1481,"25.46116,57.04045",1
1482,"25.11642,56.95786",1
1483,"24.83425,56.86043",1
1484,"25.00335,56.85391",1
1485,"25.30481,56.71864",1
1486,"25.29981,56.72015",1
1487,"25.30454,56.71843",1
1488,"25.27469,56.89743",1
1489,"25.19054,57.16618",1
1490,"24.88451,56.7522",1
1491,"25.2901,57.04827",1
1492,"25.30436,56.71847",1
1493,"25.45922,56.89645",1
1494,"25.461,57.04041",1
1495,"24.92176,56.94711",1
1496,"25.46265,56.99711",1
1497,"25.30448,56.71838",1
1498,"24.7927,56.78328",1
1499,"25.00545,56.85277",1
1500,"24.94726,56.96285",1
1501,"25.30577,56.71932",1
1502,"25.11167,57.03667",1
1503,"25.32668,56.73946",1
1504,"25.91708,55.48414",1
1505,"26.13678,55.68134",1
1506,"25.4598,56.8891",1
1507,"25.17042,56.94176",1
1508,"24.96219,56.73141",1
1509,"24.95594,57.34029",1
1510,"25.25706,56.88001",1
1511,"24.99108,56.86113",1
1512,"25.25261,56.77604",1
1513,"25.30452,56.71813",1
1514,"24.96748,56.70017",1
1515,"25.4554,56.74512",1
1516,"25.20145,57.1691",1
1517,"25.95797,55.57404",1
1518,"24.92133,56.90563",1
1519,"25.44084,56.98871",1
1520,"24.68477,56.84588",1
1521,"26.04414,56.80216",1
1522,"24.94123,57.08934",1
1523,"25.46109,57.0404",1
1524,"26.27473,56.77825",1
1525,"24.97221,56.75709",1
1526,"25.40974,56.80084",1
1527,"25.80156,57.01593",1
1528,"25.2046,57.25584",1
1529,"25.45506,56.88609",1
1530,"25.50995,56.75592",1
1531,"25.12842,57.12217",1
1532,"27.0023,56.70327",1
1533,"26.53457,57.06537",1
1534,"24.99054,56.85742",1
1535,"24.7107,56.89155",1
1536,"25.3045,56.71837",1
1537,"24.91115,56.87279",1
1538,"25.30675,56.71781",1
1539,"25.48302,56.8987",1
1540,"24.99065,56.85743",1
1541,"25.21056,56.76679",1
1542,"24.99492,57.26154",1
1543,"24.74727,56.7705",1
1544,"26.40309,57.01222",1
1545,"25.46098,56.89584",1
1546,"26.9397,56.4417",1
1547,"25.37051,56.87577",1
1548,"25.46114,57.04032",1
1549,"24.62944,57.02585",1
1550,"25.40861,57.23461",1
1551,"24.92004,56.88869",1
1552,"26.53523,56.68335",1
1553,"25.45604,57.04306",1
1554,"24.79115,57.04279",1
1555,"25.3705,56.87575",1
1556,"24.93269,56.88803",1
1557,"25.07802,57.16373",1
1558,"24.63968,56.88953",1
1559,"25.37055,56.87578",1
1560,"25.93491,56.76883",1
1561,"25.20545,57.30925",1
1562,"25.01784,56.84277",1
1563,"25.20125,56.78407",1
1564,"25.01079,57.01287",1
1565,"25.38422,56.8667",1
1566,"25.17796,57.08509",1
1567,"24.91673,57.18675",1
1568,"24.81079,56.73816",1
1569,"25.15882,57.29722",1
1570,"25.45337,56.74457",1
1571,"24.99464,56.85245",1
1572,"25.21745,56.75523",1
1573,"24.64066,56.9702",1
1574,"25.30489,56.72043",1
1575,"26.15823,55.72924",1
1576,"26.1371,55.67974",1
1577,"24.99423,57.16445",1
1578,"25.2772,56.73556",1
1579,"26.15021,55.79915",1
1580,"24.65256,56.97085",1
1581,"24.85068,56.97936",1
1582,"26.29507,55.86832",1
1583,"26.26308,55.60651",1
1584,"25.21317,56.7597",1
1585,"24.96037,56.92103",1
1586,"25.46315,57.03897",1
1587,"24.91992,57.08353",1
1588,"25.46013,56.89665",1
1589,"24.64116,56.91914",1
1590,"26.10595,54.79505",1
1591,"25.46116,57.04047",1
1592,"25.45324,56.7453",1
1593,"25.46096,57.04075",1
1594,"26.52323,57.06046",1
1595,"24.9594,57.2696",1
1596,"25.14153,57.27459",1
1597,"25.30451,56.7183",1
1598,"25.46863,56.79868",1
1599,"26.295,55.86878",1
1600,"25.40088,57.33586",1
1601,"25.8776,56.896",1
1602,"24.95209,57.33303",1
1603,"24.57978,56.95976",1
1604,"25.46049,56.89771",1
1605,"25.06948,57.38053",1
1606,"25.46112,57.04042",1
1607,"25.0299,57.05805",1
1608,"25.30929,56.72037",1
1609,"25.57812,56.8616",1
1610,"25.4396,56.85658",1
1611,"26.29461,55.86859",1
1612,"25.39635,56.96133",1
1613,"25.1116,56.91117",1
1614,"26.7862,56.24763",1
1615,"26.53213,57.06838",1
1616,"25.15123,57.11613",1
1617,"25.44428,56.75432",1
1618,"24.96064,56.88371",1
1619,"25.45984,56.89695",1
1620,"25.29882,57.08089",1
1621,"25.47237,56.90061",1
1622,"25.4701,56.90238",1
1623,"25.45412,56.74481",1
1624,"25.29425,56.93922",1
1625,"25.75892,57.01538",1
1626,"24.94907,56.70129",1
1627,"25.50157,56.77236",1
1628,"25.80197,57.01683",1
1629,"24.86952,56.9267",1
1630,"25.17061,56.85876",1
1631,"26.13288,55.6919",1
1632,"24.89137,56.99697",1
1633,"24.96111,57.13955",1
1634,"24.99204,56.85417",1
1635,"25.71496,56.9946",1
1636,"25.30463,56.71859",1
1637,"26.91764,56.28069",1
1638,"25.46092,57.04049",1
1639,"25.30363,56.71766",1
1640,"26.15676,55.69422",1
1641,"24.87493,57.16923",1
1642,"25.25708,56.87995",1
1643,"24.82026,57.05937",1
1644,"24.80502,56.81793",1
1645,"24.7021,56.95719",1
1646,"26.09454,54.8117",1
1647,"24.95625,57.29642",1
1648,"25.11749,57.49371",1
1649,"24.83505,56.99634",1
1650,"24.97573,57.06946",1
1651,"25.45994,56.89665",1
1652,"24.87545,57.10798",1
1653,"24.98486,56.86412",1
1654,"25.38467,56.80236",1
1655,"24.62982,57.008",1
1656,"24.98589,57.18073",1
1657,"25.46425,56.8955",1
1658,"25.30437,56.71832",1
1659,"25.30471,56.7185",1
1660,"25.79935,57.01861",1
1661,"24.88707,56.91227",1
1662,"25.33835,57.05821",1
1663,"25.2172,57.27257",1
1664,"25.06657,56.86448",1
1665,"25.46185,57.04008",1
1666,"25.46132,57.04031",1
1667,"25.52711,57.23349",1
1668,"25.5087,56.80413",1
1669,"25.7946,56.88231",1
1670,"24.99029,56.85597",1
1671,"26.13673,55.68139",1
1672,"24.86914,56.78126",1
1673,"25.46005,56.89707",1
1674,"25.71289,56.96478",1
1675,"24.83581,57.1277",1
1676,"25.09478,57.43108",1
1677,"25.04309,56.86124",1
1678,"24.78063,57.05777",1
1679,"25.4365,57.14972",1
1680,"25.46097,57.04053",1
1681,"25.30467,56.71893",1
1682,"25.0775,56.82594",1
1683,"25.0386,56.79695",1
1684,"24.98609,57.18862",1
1685,"25.28198,56.74269",1
1686,"26.66392,56.54258",1
1687,"25.3131,56.74051",1
1688,"25.30417,56.71854",1
1689,"25.03692,56.72219",1
1690,"24.94948,56.82205",1
1691,"25.30369,56.71813",1
1692,"25.4148,56.88966",1
1693,"25.03967,56.70777",1
1694,"25.30452,56.71848",1
1695,"25.20437,57.03508",1
1696,"25.4611,57.04044",1
1697,"24.91397,56.91129",1
1698,"25.46092,57.04087",1
1699,"25.68297,56.94795",1
1700,"25.00475,56.77327",1
1701,"24.93479,56.83063",1
1702,"24.92117,56.70672",1
1703,"24.96733,57.15872",1
1704,"25.30454,56.7184",1
1705,"24.99061,56.85744",1
1706,"24.78081,56.88596",1
1707,"24.95395,56.68791",1
1708,"25.35762,57.1332",1
1709,"24.99061,56.85739",1
1710,"24.93801,56.79631",1
1711,"25.37842,57.04009",1
1712,"24.83032,57.00208",1
1713,"24.98795,56.8587",1
1714,"25.62111,56.90277",1
1715,"25.0461,56.74538",1
1716,"24.79872,56.95932",1
1717,"26.29486,55.86882",1
1718,"25.4599,56.89673",1
1719,"25.21219,56.74091",1
1720,"25.30463,56.71835",1
1721,"25.83188,56.97505",1
1722,"25.09439,57.14827",1
1723,"24.99159,56.87954",1
1724,"25.07856,57.46523",1
1725,"24.99062,56.85742",1
1726,"25.45985,56.89671",1
1727,"24.78627,56.82862",1
1728,"24.97737,56.77742",1
1729,"24.84185,57.01395",1
1730,"25.11015,56.93953",1
1731,"25.46083,57.0405",1
1732,"26.07497,55.75119",1
1733,"25.85524,55.38421",1
1734,"24.62815,56.89521",1
1735,"25.3054,56.71778",1
1736,"25.91845,55.51183",1
1737,"24.86311,56.76258",1
1738,"24.71485,56.8924",1
1739,"25.41284,57.05423",1
1740,"25.46062,56.89746",1
1741,"25.69001,57.01374",1
1742,"24.93988,56.78207",1
1743,"25.07681,56.90888",1
1744,"25.30786,56.72115",1
1745,"25.2223,56.81771",1
1746,"25.30442,56.71831",1
1747,"24.84461,56.86459",1
1748,"25.30908,56.72481",1
1749,"25.45648,56.89445",1
1750,"25.30588,56.72217",1
1751,"25.43322,56.89046",1
1752,"25.04883,56.78766",1
1753,"24.91261,56.74808",1
1754,"25.25112,57.30533",1
1755,"24.7926,56.89707",1
1756,"25.30464,56.71846",1
1757,"25.23773,56.76704",1
1758,"25.05696,56.88772",1
1759,"26.29518,55.86913",1
1760,"25.46067,57.04056",1
1761,"25.37046,56.87579",1
1762,"25.33559,56.81937",1
1763,"25.21214,56.76097",1
1764,"26.29484,55.86885",1
1765,"25.30482,56.71866",1
1766,"24.96462,56.67631",1
1767,"25.30442,56.71841",1
1768,"25.30453,56.71821",1
1769,"25.31164,56.87002",1
1770,"24.91614,56.75134",1
1771,"24.99603,56.92976",1
1772,"26.13697,55.68136",1
1773,"25.02843,56.87159",1
1774,"26.29693,56.23076",1
1775,"25.46109,57.04053",1
1776,"24.80438,56.91493",1
1777,"26.13677,55.68141",1
1778,"25.4599,56.89664",1
1779,"25.3048,56.71904",1
1780,"25.1751,57.26381",1
1781,"24.99516,56.85412",1
1782,"24.96015,57.11922",1
1783,"24.82194,56.76988",1
1784,"25.30548,56.71803",1
1785,"25.45272,56.7447",1
1786,"25.95858,56.91986",1
1787,"25.7378,57.01724",1
1788,"25.24595,56.78557",1
1789,"25.25375,56.75062",1
1790,"25.2574,56.87957",1
1791,"26.13907,55.67999",1
1792,"25.73901,57.01671",1
1793,"24.67738,56.89844",1
1794,"24.80078,57.16513",1
1795,"25.30426,56.7187",1
1796,"25.32606,57.05625",1
1797,"25.4743,56.96743",1
1798,"26.39577,56.68973",1
1799,"24.97428,56.93856",1
1800,"25.06365,56.74663",1
1801,"24.99113,56.85733",1
1802,"25.81598,55.37786",1
1803,"25.01471,56.85344",1
1804,"26.15258,55.68828",1
1805,"25.19595,56.86686",1
1806,"24.75599,57.01598",1
1807,"26.74938,56.78096",1
1808,"25.46066,57.04049",1
